(Burst #:Message #),NTP Timestamp
(0:0),2208988800
(0:1),3856044193.586
(0:2),3856044193.586
(0:3),3856044193.586
(0:4),3856044193.586
(0:5),3856044193.586
(0:6),3856044193.586
(0:7),3856044193.586
(10:0),2208988800
(10:1),3856046594.409
(10:2),3856046594.409
(10:3),3856046594.409
(10:4),3856046594.409
(10:5),3856046594.409
(10:6),3856046594.409
(10:7),3856046594.409
(11:0),2208988800
(11:1),3856046834.506
(11:2),3856046834.506
(11:3),3856046834.506
(11:4),3856046834.506
(11:5),3856046834.506
(11:6),3856046834.506
(11:7),3856046834.506
(12:0),2208988800
(12:1),3856047074.606
(12:2),3856047074.606
(12:3),3856047074.606
(12:4),3856047074.606
(12:5),3856047074.606
(12:6),3856047074.606
(12:7),3856047074.606
(13:0),2208988800
(13:1),3856047314.7060003
(13:2),3856047314.7060003
(13:3),3856047314.7060003
(13:4),3856047314.7060003
(13:5),3856047314.7060003
(13:6),3856047314.7060003
(13:7),3856047314.7060003
(14:0),2208988800
(14:1),3856047554.8059998
(14:2),3856047554.8059998
(14:3),3856047554.8059998
(14:4),3856047554.8059998
(14:5),3856047554.8059998
(14:6),3856047554.8059998
(14:7),3856047554.8059998
(1:0),2208988800
(1:1),3856044433.646
(1:2),3856044433.646
(1:3),3856044433.646
(1:4),3856044433.646
(1:5),3856044433.646
(1:6),3856044433.646
(1:7),3856044433.6470003
(2:0),2208988800
(2:1),3856044673.742
(2:2),3856044673.742
(2:3),3856044673.742
(2:4),3856044673.742
(2:5),3856044673.742
(2:6),3856044673.742
(2:7),3856044673.742
(3:0),2208988800
(3:1),3856044913.748
(3:2),3856044913.748
(3:3),3856044913.748
(3:4),3856044913.748
(3:5),3856044913.748
(3:6),3856044913.748
(3:7),3856044913.748
(4:0),2208988800
(4:1),3856045153.8459997
(4:2),3856045153.8459997
(4:3),3856045153.8459997
(4:4),3856045153.8459997
(4:5),3856045153.8459997
(4:6),3856045153.8459997
(4:7),3856045153.8459997
(5:0),2208988800
(5:1),3856045393.946
(5:2),3856045393.946
(5:3),3856045393.946
(5:4),3856045393.946
(5:5),3856045393.946
(5:6),3856045393.946
(5:7),3856045393.946
(6:0),2208988800
(6:1),3856045634.046
(6:2),3856045634.046
(6:3),3856045634.046
(6:4),3856045634.046
(6:5),3856045634.046
(6:6),3856045634.046
(6:7),3856045634.047
(7:0),2208988800
(7:1),3856045874.1099997
(7:2),3856045874.1099997
(7:3),3856045874.1099997
(7:4),3856045874.1099997
(7:5),3856045874.1099997
(7:6),3856045874.1099997
(7:7),3856045874.1099997
(8:0),2208988800
(8:1),3856046114.209
(8:2),3856046114.209
(8:3),3856046114.209
(8:4),3856046114.209
(8:5),3856046114.209
(8:6),3856046114.209
(8:7),3856046114.209
(9:0),2208988800
(9:1),3856046354.309
(9:2),3856046354.309
(9:3),3856046354.309
(9:4),3856046354.309
(9:5),3856046354.309
(9:6),3856046354.309
(9:7),3856046354.309
